Product Name,Price,Links,Reviews,Ratings
"uppercase SealPro Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers & Anti-theft for Men, Women, Boys and Girls, 750 Days warranty","3,529",https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1688665598&sprefix=ba%2Caps%2C283&sr=8-13,"2,211",3.8 out of 5 stars
"EUME Propine Laptop Backpack | Built-in Massager, Water Resistant & Anti-Theft | Fits Up-to 15.6"" MacBook (Melange, 22L)",649,https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1688665598&sprefix=ba%2Caps%2C283&sr=8-14,"7,480",4.3 out of 5 stars
POLICE Backpack for Men Casual Laptop Bag Office/Travel/College 30 Ltr Hedge Polyester - Black,689,https://www.amazon.in/SFANE-Duffel-Shoulder-Women-Compartment/dp/B07XXFB9CZ/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1688665598&sprefix=ba%2Caps%2C283&sr=8-15,"5,779",4.4 out of 5 stars
"uppercase Apex Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",387,https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1688665598&sprefix=ba%2Caps%2C283&sr=8-16,"2,898",3.8 out of 5 stars
"uppercase Matrix Professional Anti-theft Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","1,085",https://www.amazon.in/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B26VHXV/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1688665598&sprefix=ba%2Caps%2C283&sr=8-17,"11,550",4.3 out of 5 stars
Skybags Brat Black 46 Cms Casual Backpack,799,https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B085S444JV/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1688665598&sprefix=ba%2Caps%2C283&sr=8-18,"6,176",4.3 out of 5 stars
American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),550,https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1688665598&sprefix=ba%2Caps%2C283&sr=8-19,"19,757",4.0 out of 5 stars
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),899,https://www.amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1688665598&sprefix=ba%2Caps%2C283&sr=8-20,63,4.6 out of 5 stars
"Sirona Sanitary Disposable Bags - 75 Bags for Discreet Disposal of Tampons, Condoms, Diaper, Sanitary Pads, Panty Liner and Personal Hygiene Waste",248,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNDgxOTA2NTE4MjE3MjAzOjE2ODg2NjU1OTg6c3BfYnRmOjIwMTA1NzE1ODIxNTk4OjowOjo&url=%2Fuppercase-Professional-resistant-sustainable-Anti-theft%2Fdp%2FB0BR1C59R8%2Fref%3Dsr_1_21_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1688665598%26sprefix%3Dba%252Caps%252C283%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,47,4.0 out of 5 stars
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls","1,900",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNDgxOTA2NTE4MjE3MjAzOjE2ODg2NjU1OTg6c3BfYnRmOjIwMTU5NjI1MTQ5Mzk4OjowOjo&url=%2FEUME-Propine-Massager-Backpack-Charging%2Fdp%2FB07XG935R9%2Fref%3Dsr_1_22_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1688665598%26sprefix%3Dba%252Caps%252C283%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"5,657",4.1 out of 5 stars
